Item,Market,Order ID
"Banana, 1 each",EB,179
"Banana, 1 each",SF,150
"Banana, 1 each",LA,140
"Blueberries, 1/2 pint",EB,139
"Blueberries, 1/2 pint",SF,131
"Blueberries, 1/2 pint",LA,116
"Avocado, 1 each",LA,111
"Avocado, 1 each",SF,111
"Avocado, 1 each",EB,110
"Tangerines, 1 lb",EB,107
"Organic Cage Free Brown Eggs, 1 dozen",EB,100
"Broccoli Crown, 1 lb",EB,95
"Yellow Onion, 1 each",EB,86
"Baby Spinach, 6 oz",SF,86
"Organic Cage Free Brown Eggs, 1 dozen",SF,86
"Yellow Onion, 1 each",SF,82
"Baby Spinach, 6 oz",EB,81
"Baby Spinach, 6 oz",LA,77
"Fresh Firm Tofu, 12 oz",EB,76
"Fresh Firm Tofu, 12 oz",SF,71
"Blackberries, 1/2 pint",EB,70
"Vine Tomatoes, 1 lb",EB,70
"Table Carrot, 1 each",EB,69
"Strawberries, 1 pint",EB,67
"Strawberries, 1 pint",SF,67
"Crimini Mushroom, 8 oz",EB,67
"Green Onion (Scallions), 1 bunch",EB,66
"Fuji Apple, 1 each",EB,66
"Organic Cage Free Brown Eggs, 1 dozen",LA,64
"Mixed Medley Cherry Tomatoes, 8 oz",EB,64
"Broccoli Crown, 1 lb",SF,62
"Strawberries, 1 pint",LA,62
"Mixed Medley Cherry Tomatoes, 8 oz",SF,62
"Yellow Onion, 1 each",LA,62
"Pink Lady Apple, 1 each",EB,62
"Lemon, 1 each",SF,62
"Red Bell Pepper, 1 each",EB,61
"Lemon, 1 each",EB,61
"Cucumber, 1 each",SF,61
"Green Onion (Scallions), 1 bunch",SF,59
"Raspberries, 1/2 pint",EB,58
"Vine Tomatoes, 1 lb",LA,58
"Tangerines, 1 lb",SF,58
"Crimini Mushroom, 8 oz",SF,58
"Pink Lady Apple, 1 each",SF,58
"Red Bell Pepper, 1 each",SF,58
"Blackberries, 1/2 pint",SF,57
"Garlic, 1 each",EB,56
"Mixed Medley Cherry Tomatoes, 8 oz",LA,55
"Crimini Mushroom, 8 oz",LA,54
"Zucchini, 1 each",EB,54
"Raspberries, 1/2 pint",LA,53
"Lime, 1 each",EB,53
"Cilantro, 1 bunch",EB,53
"Cucumber, 1 each",LA,53
"Lacinato (Dinosaur) Kale, 1 each",EB,52
"Zucchini, 1 each",LA,52
"Table Carrot, 1 each",LA,52
"Romaine Lettuce Head, 1 each",EB,52
"Cucumber, 1 each",EB,52
"Broccoli Crown, 1 lb",LA,52
"Zucchini, 1 each",SF,51
"Green Beans, 16 oz",EB,50
"Raspberries, 1/2 pint",SF,50
"Tangerines, 1 lb",LA,50
"Table Carrot, 1 each",SF,50
"Arugula, 6 oz",EB,49
"Green Onion (Scallions), 1 bunch",LA,49
"Lime, 1 each",SF,49
"Cage Free Eggs, 1 dozen",SF,49
"Cage Free Eggs, 1 dozen",EB,49
"Blackberries, 1/2 pint",LA,49
"Lemon, 1 each",LA,49
"Persian Cucumbers, 1 each",EB,48
"Honeycrisp Apple, 1 each",EB,48
"Persian Cucumbers, 1 each",LA,47
"Shredded Cheddar, 7 oz",EB,47
"Whole Milk, 1/2 gallon",EB,47
"Lacinato (Dinosaur) Kale, 1 each",SF,45
"Fuji Apple, 1 each",LA,45
"Red Bell Pepper, 1 each",LA,44
"Brussel Sprouts, 1 lb",EB,43
"Cauliflower, 1 each",EB,43
"Lacinato (Dinosaur) Kale, 1 each",LA,43
"Red Onion, 1 each",EB,43
"Arugula, 6 oz",SF,43
"Orange Bell Pepper, 1 each",EB,42
"Red Sweet Potato, 1 lb",EB,42
"Flour Tortillas 8 in, 1 dozen",EB,42
"Red Sweet Potato, 1 lb",SF,41
"Arugula, 6 oz",LA,41
"Garlic, 1 each",SF,41
"Honeycrisp Apple, 1 each",SF,41
"Fuji Apple, 1 each",SF,40
"Navel Orange, 1 lb",LA,40
"Vine Tomatoes, 1 lb",SF,40
"Asparagus, 1 lb",EB,40
"Green Kale Bunch, 1 each",SF,39
"Cage Free Eggs, 1 dozen",LA,39
"Brussel Sprouts, 1 lb",SF,39
"Ginger Root, 1 each",EB,38
"Red Pear, 1 each",EB,37
"Extra Sharp Cheddar Cheese, 7 oz",EB,37
"Romaine Lettuce Head, 1 each",LA,37
"Lime, 1 each",LA,37
"Carrot Bunch, 1 each",SF,37
"Boneless Skinless Chicken Thighs, 1 lb",EB,37
"Gold Potatoes, 1 lb",EB,36
"Flour Tortillas 8 in, 1 dozen",SF,36
"Green Kale Bunch, 1 each",EB,36
"Cilantro, 1 bunch",SF,36
"Garlic, 1 each",LA,35
"Broccolini Bunch, 1 each",EB,35
"Ginger Root, 1 each",LA,35
"Extra Virgin Olive Oil, 16 oz",EB,34
"Dried Mango, 5 oz",LA,34
"Cream Cheese, 8 oz",EB,34
"Green Cabbage, 1 each",EB,34
"Mango, 1 each",EB,34
"Red Pear, 1 each",SF,33
"Shredded Cheddar, 7 oz",SF,33
"Navel Orange, 1 lb",SF,33
"Sourdough Bread, 1 each",EB,33
"Boneless Skinless Chicken Thighs- CA Free Range, 1 lb",LA,33
"Green Kale Bunch, 1 each",LA,33
"Shallot, 1 each",SF,33
"Boneless Skinless Chicken Breast- CA Free Range, 1 lb",LA,33
"Basil, 1 bunch",LA,32
"Celery, 1 each",EB,32
"Multigrain Sourdough Pan Loaf, 40 oz",EB,32
"Half & Half, 1 pint",EB,31
"Kiwi, 1 lb",EB,31
"Shiitake Mushrooms, 8 oz",SF,31
"Carrot Bunch, 1 each",LA,31
"Red Sweet Potato, 1 lb",LA,31
"Celery, 1 each",SF,31
"Red Onion, 1 each",SF,31
"Green Bell Pepper, 1 each",SF,31
"Red Leaf Lettuce, 1 each",EB,31
"Shiitake Mushrooms, 8 oz",EB,31
"Celery, 1 each",LA,30
"Frozen Blueberries, 16 oz",LA,30
"Cilantro, 1 bunch",LA,30
"Original Croccantini Artisan Crackers, 5 oz",LA,30
"Red Pear, 1 each",LA,30
"Atlantic Salmon Fillet, 16 oz",SF,30
"Everything Bagel, 1 each",EB,30
"Romaine Lettuce Head, 1 each",SF,29
"Bamboo Toilet Paper, 8 pack",EB,29
"Red Leaf Lettuce, 1 each",LA,29
"Sourdough Bread, 1 each",SF,29
"Mango, 1 each",LA,29
"Persian Cucumbers, 1 each",SF,29
"Extra Virgin Olive Oil, 16 oz",LA,29
"Navel Orange, 1 lb",EB,29
"Applewood Smoked Bacon, 1 lb",EB,29
"Atlantic Salmon Fillet, 16 oz",EB,28
"Mozzarella, 8 oz",SF,28
"Orange Bell Pepper, 1 each",SF,28
"Dried Mango, 5 oz",SF,28
"Grated Parmesan, 6 oz",EB,28
"Dried Mango, 5 oz",EB,28
"Yellow Corn Tortilla Chips, 6 oz",LA,27
"Russet Potato, 1 lb",SF,27
"Cauliflower, 1 each",SF,27
"Kiwi, 1 lb",SF,27
"Grapefruit, 1 each",EB,27
"Green Beans, 16 oz",LA,27
"Mango, 1 each",SF,27
"Cream Top Whole Milk, 1/2 gallon",EB,27
"Sea Salt Potato Chips, 7 oz",EB,27
"Honeycrisp Apple, 1 each",LA,26
"Fresh Firm Tofu, 12 oz",LA,26
"Basil, 1 bunch",EB,26
"Red Leaf Lettuce, 1 each",SF,26
"Boneless Skinless Chicken Breast, 1 lb",EB,26
"Original Croccantini Artisan Crackers, 5 oz",EB,26
"Italian Parsley, 1 bunch",SF,26
"Frozen Mango, 16 oz",LA,26
"Italian Parsley, 1 bunch",EB,26
"Broccolini Bunch, 1 each",LA,25
"Sourdough Country Loaf, 1 each",LA,25
"Grade A Dark Robust Maple Syrup, 12 oz",EB,25
"Ginger Root, 1 each",SF,25
"Sonoma Sour Cream, 8 oz",EB,25
"Peanut Butter Pretzels, 6 oz",EB,25
"Pink Lady Apple, 1 each",LA,25
"Frozen Strawberries, 16 oz",LA,25
"Whole Milk, 1/2 gallon",SF,25
"Boneless Skinless Chicken Thighs, 1 lb",SF,25
"Red Onion, 1 each",LA,24
"White Cheddar Popcorn, 4 oz",EB,24
"Shallot, 1 each",EB,24
"Yellow Corn Tortilla Chips, 6 oz",EB,24
"Baby Bok Choy, 1 lb",EB,24
"Plain Yogurt, 23 oz",EB,24
"Original Croccantini Artisan Crackers, 5 oz",SF,24
"Plain Hummus, 8 oz",EB,24
"Mozzarella, 8 oz",EB,24
"Jalapeno, 1 each",SF,24
"Cauliflower, 1 each",LA,24
"Green Beans, 16 oz",SF,24
"Green Bell Pepper, 1 each",EB,24
"Gold Potatoes, 1 lb",LA,23
"Extra Virgin Olive Oil, 16 oz",SF,23
"Plain Hummus, 8 oz",LA,23
"Jalapeno, 1 each",LA,23
"Multigrain Sourdough Pan Loaf, 40 oz",SF,23
"Kiwi, 1 lb",LA,23
"Grapefruit, 1 each",LA,23
"Creamy Peanut Butter, 12 oz",EB,23
"Russet Potato, 1 lb",EB,23
"Peanut Butter Pretzels, 6 oz",LA,23
"Cream Top 2% Reduced Fat Milk, 1/2 gallon",SF,23
"Spaghetti, 16 oz",EB,22
"Broccoli Florets, 10 oz",SF,22
"California Premium Shredded Monterey Jack Cheese, 7 oz",EB,22
"Turkey Breast, 8 oz",EB,22
"Carrot Bunch, 1 each",EB,22
"Green Cabbage, 1 each",SF,22
"Grade A Dark Robust Maple Syrup, 12 oz",SF,22
"Plain Hummus, 8 oz",SF,22
"Bamboo Toilet Paper, 8 pack",SF,22
"Heavy Whipping Cream, 1 pint",EB,21
"Japanese Sweet Potatoes, 1 Ib",LA,21
"Cinnamon Raisin Bagel, 1 each",EB,21
"Bamboo Toilet Paper, 8 pack",LA,21
"Mary's Ground Turkey, 1 lb",LA,21
"Jalapeno, 1 each",EB,21
"Broccolini Bunch, 1 each",SF,21
"Orange Bell Pepper, 1 each",LA,21
"Green Bell Pepper, 1 each",LA,21
"Morning Glory Kombucha, 16 oz",LA,21
"Spaghetti, 16 oz",SF,21
"Grated Parmesan, 6 oz",SF,21
"Plain Bagel, 1 each",EB,20
"Italian Parsley, 1 bunch",LA,20
"Sesame Bagel, 1 each",EB,20
"Reduced Fat Milk, 1/2 gallon",EB,20
"Creamy Almond Butter, 12 oz",EB,20
"Plain Yogurt, 23 oz",SF,20
"Fresh Squeezed Orange Juice, 32 oz",LA,20
"Sonoma Sour Cream, 8 oz",SF,20
"Shelled Walnut Halves and Pieces, 7 oz",LA,20
"Original Granola, 8 oz",EB,20
"Asparagus, 1 lb",SF,19
"Baby Bok Choy, 1 lb",SF,19
"Whole Milk, 1/2 gallon",LA,19
"Shelled Walnut Halves and Pieces, 7 oz",EB,19
"Broccoli Florets, 10 oz",EB,19
"Feta Crumbled Cheese, 4.5 oz",EB,19
"Medjool Dates, 10 oz",EB,19
"Feta Crumbled Cheese, 4.5 oz",SF,19
"Cream Cheese, 8 oz",SF,19
"Sour Cream + Wild Onion Potato Chips, 7 oz",SF,19
"Salad Blend Shaved Cheese (Asiago, Romano, and Parmesan), 5 oz",EB,19
"Sliced Pepper Jack Cheese, 8 oz",EB,19
"Plain Pita Chips, 8 oz",EB,18
"Sourdough Pretzel Nuggets, 6 oz",EB,18
"Canola Oil, 16 oz",EB,18
"Cream Top 2% Reduced Fat Milk, 1/2 gallon",EB,18
"Chex Mix, 8 oz",EB,18
"Regular Rolled Oats, 14 oz",EB,18
"Cheddar Whales, 11 oz",LA,18
"Gold Potatoes, 1 lb",SF,18
"Russet Potato, 1 lb",LA,18
"Plain Pita Chips, 8 oz",LA,18
"Broccoli Florets, 10 oz",LA,18
"Fresh Squeezed Orange Juice, 32 oz",EB,18
"Reduced Fat Milk, 1/2 gallon",SF,18
"Basil, 1 bunch",SF,18
"Baby Bok Choy, 1 lb",LA,18
"White Mushrooms, 8 oz",LA,18
"Dill, 1 bunch",EB,18
"Super Oat Mylk, 32 oz",LA,18
"Rainbow Chard, 1 bunch",EB,17
"California Premium Shredded Monterey Jack Cheese, 7 oz",SF,17
"Rotisserie Chicken Breast, 8 oz",EB,17
"Peanut Butter Pretzels, 6 oz",SF,17
"French Vanilla Almond Granola, 7 oz",LA,17
"Cheddar Whales, 11 oz",EB,17
"Flour Tortillas 8 in, 1 dozen",LA,17
"Chex Mix, 8 oz",LA,17
"Chicken Tikka Masala, 12.5 oz",EB,17
"Ground Beef, 1 lb",EB,17
"Atlantic Salmon Fillet LA, 1 lb",LA,17
"Eggplant, 1 each",LA,17
"Asparagus, 1 lb",LA,17
"Atalanta Sliced Havarti Cheese, 8 oz",EB,17
"Cinnamon Toast Crunch, 13 oz",EB,17
"Blue Corn Tortilla Chips, 6 oz",SF,17
"Whole Milk, 1 quart",EB,17
"Pork Breakfast Sausage Links, 8 count",EB,17
"Spicy Black Bean Hummus, 8 oz",SF,17
"Boneless Skinless Chicken Breast, 1 lb",SF,17
"Creamy Peanut Butter, 12 oz",SF,16
"Japanese Sweet Potatoes, 1 Ib",EB,16
"Whole Chicken, 2.5-3lbs",EB,16
"Shredded Cheddar, 7 oz",LA,16
"Blue Corn Tortilla Chips, 6 oz",EB,16
"Blue Corn Tortilla Chips, 6 oz",LA,16
"Penne Rigatte, 22 oz",EB,16
"French Vanilla Almond Granola, 7 oz",EB,16
"Brussel Sprouts, 1 lb",LA,16
"Garbanzo Beans, 15 oz",LA,16
"Bamboo Toilet Paper, 1 each",EB,15
"Baguette, 1 each (LA)",LA,15
"Linguine, 16 oz",SF,15
"Unsalted Butter, 8 oz",EB,15
"Skim Milk, 1/2 gallon",EB,15
"Sushi Rice, 26 oz",EB,15
"White Onion, 1 each",SF,15
"Grated Parmesan, 6 oz",LA,15
"Honey Nut Cheerios, 11.5 oz",EB,15
"Bamboo Toilet Paper, 1 each",SF,15
"White Mushrooms, 8 oz",SF,15
"Thyme Herb Potato Chips, 7 oz",EB,15
"Salad Blend Shaved Cheese (Asiago, Romano, and Parmesan), 5 oz",LA,15
"Salted Butter, 8 oz",EB,15
"Cheddar Whales, 11 oz",SF,15
"Everything Bagel, 1 each",SF,15
"Dark Chocolate Covered Almonds, 11 oz",LA,15
"Sliced Swiss Cheese, 8 oz",LA,15
"Whole Peeled Tomatoes, 28 oz",EB,15
"Applewood Smoked Bacon, 1 lb",SF,15
"Natural Ground Turkey, 1 lb",EB,15
"Eggplant, 1 each",EB,14
"Raw Whole Cashews, 9 oz",EB,14
"Heritage O's, 16 oz",EB,14
"Roasted & Salted Pistachios, 6 oz",LA,14
"Rotisserie Chicken Breast, 8 oz",SF,14
"Wild Blueberry Muffin, 1 each",EB,14
"Frozen Strawberries Jar, 16 oz",SF,14
"Rotini, 8 oz",LA,14
"Dry Roasted Peanuts, 10 oz",EB,14
"French Vanilla Yogurt, 23 oz",EB,14
"Sour Cream + Wild Onion Potato Chips, 7 oz",LA,14
"White Mushrooms, 8 oz",EB,14
"Marcona Almonds, 4.5 oz",EB,14
"Maui Onion Potato Chips, 8 oz",EB,14
"Cherry Almond Coffee Cake, 1 each",EB,14
"Fingerling Potatoes, 16 oz",EB,14
"5 Cheese Ravioli, 11.5 oz",EB,14
"Coconut Chips (Flakes), 3 oz",SF,14
"Regular Rolled Oats, 14 oz",SF,14
"Original Granola, 8 oz",LA,14
"Honey, 16oz",EB,14
"Black Beans, 15 oz",EB,14
"Medjool Dates, 10 oz",LA,14
"Extra Sharp Cheddar Cheese, 7 oz",SF,14
"Torchio, 9 oz",LA,14
"Unsalted Butter, 1 lb",SF,13
"Turkey Breast, 8 oz",SF,13
"Shiitake Mushrooms, 8 oz",LA,13
"Delicata Squash, 1 lb",EB,13
"Trimmed Green Beans, 11 oz",LA,13
"Applewood Natural Bacon, 1 lb",LA,13
"Twice Baked Almond Croissant, 1 each",EB,13
"Honey, 16oz",LA,13
"Roasted Butternut Squash Gourmet Ravioli, 10 oz",EB,13
"Dill, 1 bunch",LA,13
"Rigatoni, 20 oz",SF,13
"Rainbow Chard, 1 bunch",LA,13
"Cream Top 2% Reduced Fat Milk, 1/2 gallon",LA,13
"Fingerling Potatoes, 16 oz",SF,13
"Cream Top Fat Free Milk, 1/2 gallon",EB,13
"Grapefruit, 1 each",SF,13
"Whole Raw Almonds, 9 oz",SF,13
"Reduced Fat Milk, 1/2 gallon",LA,13
"Multigrain Flakes, 16 oz",LA,13
"Lemon Greek Kefir Yogurt, 8 oz",LA,13
"Grade A Dark Robust Maple Syrup, 12 oz",LA,13
"California Orange Juice, 32 oz",SF,13
"Fresh Squeezed Orange Juice, 32 oz",SF,13
"Sliced Pain de Mie Pullman Loaf, 23 oz",EB,13
"Wild Mushroom Ravioli, 11.5 oz",SF,13
"Dark Chocolate Brownie Mix, 23 oz",LA,13
"Lundberg Long Grain White Rice, 13 oz",EB,13
MDZ Malbec 2020 Mendoza (21+),EB,13
"Black Beans, 15 oz",LA,13
"Luau Honey BBQ Potato Chips, 7 oz",LA,12
"Roasted and Salted Mixed Nuts, 9 oz",EB,12
"Green Cabbage, 1 each",LA,12
"Serrano Pepper, 1 each",SF,12
"41% Semi-Sweet Cookie Drops, 12 oz",EB,12
"Farro, 23 oz",EB,12
"Medjool Dates, 10 oz",SF,12
"Delicata Squash, 1 lb",SF,12
"Red Beets, 1 bunch",EB,12
"Frozen Blueberries Jar, 16 oz",SF,12
"All Purpose Flour, 22 oz",EB,12
"Ginger Boost Kombucha, 16 oz",LA,12
"Eggplant, 1 each",SF,12
"Penne Rigatte, 22 oz",SF,12
"Potato Gnocchi, 16 oz",EB,12
"Yellow Corn Tortilla Chips, 6 oz",SF,12
"Shallot, 1 each",LA,12
"All Purpose Flour, 22 oz",SF,12
"Regular Rolled Oats, 14 oz",LA,12
"Plain Pita Chips, 8 oz",SF,12
"Black Forest Ham, 8 oz",SF,12
"Sliced Swiss Cheese, 8 oz",SF,12
"Wild Mushroom Ravioli, 11.5 oz",EB,12
"Plain Bagel, 1 each",SF,12
"Torchio, 9 oz",EB,12
"Atalanta Sliced Havarti Cheese, 8 oz",SF,12
"Vegan Portobello Mushroom Tamale, 1 each",SF,12
"Sparkling Mineral Water, 25.3 oz",EB,12
"Serrano Pepper, 1 each",LA,12
"Vanilla Coffee Creamer, 1 quart",EB,12
"Synergy Trilogy Kombucha, 16 oz",LA,12
"Vegetable Madras Curry, 13 oz",EB,12
"Synergy Trilogy Kombucha, 16 oz",EB,12
"Rainbow Chard, 1 bunch",SF,12
"French Vanilla Yogurt, 23 oz",LA,12
"Mozzarella, 8 oz",LA,12
"Plain Yogurt, 23 oz",LA,12
"Salted Butter, 1 lb",SF,12
"41% Semi-Sweet Cookie Drops, 12 oz",SF,12
"Lemon Greek Kefir Yogurt, 8 oz",EB,11
"Spicy Black Bean Hummus, 8 oz",LA,11
"De Cecco Linguine, 16 oz",SF,11
"Chex Mix, 8 oz",SF,11
"Garbanzo Beans, 15 oz",EB,11
"Ground Beef, 1 lb",SF,11
"Atalanta Sliced Havarti Cheese, 8 oz",LA,11
"Sour Cream + Wild Onion Potato Chips, 7 oz",EB,11
"Heavy Whipping Cream, 1 pint",LA,11
"Heavy Whipping Cream, 1 pint",SF,11
"Half & Half, 1 pint",SF,11
"Dishmate Hypoallergenic Grapefruit Dish Soap, 8 oz",LA,11
"Citrus Sunrise Kombucha, 16 oz",LA,11
"Salted Butter, 8 oz",SF,11
"Creamy Peanut Butter, 12 oz",LA,11
"Pecorino Romano, 7 oz",LA,11
"Plain Greek Kefir Yogurt, 8 oz",LA,11
"Cubed Butternut Squash with Thyme, 18 oz",EB,11
"El Corazon Breakfast Blend Whole Bean, 12 oz",LA,11
"Spaghetti, 16 oz",LA,11
"Once Again Creamy Peanut Butter, 12 oz",LA,11
"Thyme Herb Potato Chips, 7 oz",LA,11
"Sushi Rice, 26 oz",SF,11
"Roasted & Salted Pistachios, 6 oz",EB,11
"Japanese Sweet Potatoes, 1 Ib",SF,11
"Unsalted Butter, 8 oz",LA,11
"Sea Salt Puffed Kelp Chips, 3.5 oz",SF,11
"Bella Vista Dark Roast Whole Bean Coffee, 12 oz",EB,11
"Feta Crumbled Cheese, 4.5 oz",LA,11
"Rigatoni, 20 oz",EB,11
"Fingerling Potatoes, 16 oz",LA,11
"Kettle Corn, 2.5 oz",LA,11
"Lemon Rice, 8 oz",EB,11
"Mild Italian Sausage, 1 lb",LA,11
"Riced Cauliflower, 18 oz",EB,11
"Niman Ranch Ground Beef, 1 lb",LA,11
"Fig Greek Kefir Yogurt, 8 oz",LA,10
"Dried Cranberries, 8 oz",EB,10
"Crushed Tomatoes, 28 oz",SF,10
"Cream Top Whole Milk, 1/2 gallon",SF,10
"Plain Greek Kefir Yogurt, 8 oz",SF,10
"Aged Emmi Gruyere, 7 oz",EB,10
"Tomato Basil Soup, 1 portion",EB,10
"Spearmint, 1 bunch",SF,10
"Extra Long Basmati Sella Rice, 13 oz",SF,10
"French Vanilla Almond Granola, 7 oz",SF,10
"Shredded Chicken, 12oz",EB,10
"Cream Cheese, 8 oz",LA,10
"Tomato Basil Pasta Sauce, 23.5 oz",EB,10
"Cream Top Whole Milk, 1 quart",EB,10
"French Vanilla Yogurt, 23 oz",SF,10
"Sliced Pepper Jack Cheese, 8 oz",SF,10
"Thyme Herb Potato Chips, 7 oz",SF,10
"Whole Raw Almonds, 9 oz",LA,10
"Sea Salt Puffed Kelp Chips, 3.5 oz",EB,10
"Pecorino Romano, 7 oz",EB,10
"Queso Fresco, 7 oz",LA,10
"Organic Cane Sugar, 15 oz",SF,10
"Organic Cane Sugar, 15 oz",EB,10
"White Onion, 1 each",EB,10
"Banana Chips, 10 oz",SF,10
"Olive Herb Gluten Free Sourdough Bread Loaf, 1 each (LA)",LA,10
"Raw Whole Cashews, 9 oz",LA,10
"Ketchup, 12 oz",LA,10
"Pecan Halves, 8 oz",EB,10
"Kettle Corn, 2.5 oz",SF,10
"Black Forest Ham, 8 oz",EB,10
"Pumpkin Seeds, 10 oz",SF,10
"Blueboon Whole Bean, 12 oz",EB,10
"Short Grain Brown Rice, 26 oz",EB,10
"Cheddar Bites, 6oz",EB,10
"All Purpose Flour, 22 oz",LA,10
"Roasted & Salted Pistachios, 6 oz",SF,10
"Lavender Lemonade, 16 oz",SF,10
"Lemon Ginger Tiny Bite Cookies, 8oz",EB,10
"Vegan Mozzarella Cheese, 8 oz",LA,10
"Magnolia & Lily Hypoallergenic Laundry Detergent, 16 oz",LA,10
"California Premium Shredded Monterey Jack Cheese, 7 oz",LA,10
"Organic Light Roast Crunchy Peanut Butter, 16 oz",EB,10
"Canola Oil, 16 oz",LA,10
"Potato Gnocchi, 16 oz (LA)",LA,10
"Prosciutto, 4 oz",SF,10
"Baguette, 1 each",EB,10
"Original Lotus Chips, 2 oz",LA,10
"Whole Milk, 1 quart",SF,10
"Heirloom Udon Noodle, 16 oz",EB,10
"Turkey Breast, 8 oz",LA,10
"Cinnamon Toast Crunch, 13 oz",LA,10
"Organic Oat Milk Powder, 11.3 oz",SF,9
"Sparkling Mineral Water, 25.3 oz",SF,9
"Vegan Veggie and Black Bean Tamale, 1 each",EB,9
"Refried Beans, 15 oz",EB,9
"Whole Milk, 1 quart",LA,9
"Dried Apricots, 9 oz",LA,9
"Butternut Squash, 1 each",LA,9
Pinot Noir Rosé Pfalz 2020 Germany (21+),EB,9
"Mayonnaise, 12 oz",EB,9
"Roasted Everything Bagel Cashews, 8 oz",EB,9
"Manchego Cheese Aged 3 Months, 7 oz",LA,9
"Gluten Free Soy Sauce, 10 oz",EB,9
"Original Sourdough Gluten Free Bread Loaf, 1 each (LA)",LA,9
"California Orange Juice, 32 oz",EB,9
"Portobello Mushroom, 8 oz",LA,9
"Bolognese Sauce, 12oz",SF,9
"Black Forest Ham, 8 oz",LA,9
"Peeled Garlic, 8 oz",EB,9
"Prosciutto, 4 oz",EB,9
"Pumpkin Seeds, 10 oz",EB,9
"Sushi Rice, 26 oz",LA,9
"Quick Oats, 14 oz",EB,9
"Prosciutto, 4 oz",LA,9
"Spearmint, 1 bunch",EB,9
"Farro, 23 oz",LA,9
"Sparkling Water- Tangerine, 8 pack",EB,9
"Sliced Pepper Jack Cheese, 8 oz",LA,9
Pinot Grigio Della Venezie 2020 IT (21+),EB,9
"Spicy Black Bean Hummus, 8 oz",EB,9
"Baguette, 1 each",SF,9
"Raw Whole Cashews, 9 oz",SF,9
"Red Beets, 1 bunch",LA,9
"Fresh Unsweetened Almond Milk, 32 oz",EB,9
"Organic Tomato Paste, 6 oz",EB,9
"Baguette (not available on Tuesday), 1 each",EB,9
"Extra Long Basmati Sella Rice, 13 oz",EB,9
"Dill, 1 bunch",SF,9
"Broccoli Cheddar Soup, 15.5 oz",EB,9
"Strip Steak, 12oz",EB,9
"Tomato Basil Soup, 1 portion",SF,9
"Coconut Chips (Flakes), 3 oz",EB,9
"Chips- Himalayan Pink Salt, 8 oz",EB,9
"Trimmed Green Beans, 11 oz",EB,9
"Hemp Peach, 16 oz",SF,9
"Lemon Greek Kefir Yogurt, 8 oz",SF,9
"Trimmed Green Beans, 11 oz",SF,9
"Sesa Miche Loaf (not available on Tuesdays), 1 each",EB,9
"Ketchup, 12 oz",EB,9
"Peppered Turkey Breast, 8 oz",SF,9
"Kettle Corn, 2.5 oz",EB,9
"Hemp Peach, 16 oz",EB,9
"Chocolate Croissant, 1 each",EB,9
"Unsweetened Light Coconut Milk, 13.5 oz",EB,9
"Peppered Turkey Breast, 8 oz",EB,9
"Honey Nut Cheerios, 11.5 oz",LA,9
"Yellow Corn Tortillas, 1 dozen",LA,9
"Vegan Chipotle Turkey, 7 oz",EB,9
"Chicken Party Wings, 1 lb",EB,9
"White Cheddar Popcorn, 4 oz",SF,8
"Extra Sharp Cheddar Cheese, 7 oz",LA,8
"Yellow Corn Tortillas, 1 dozen",EB,8
"Sea Salt Potato Chips, 7 oz",LA,8
